id,case_id,client_id,created_at,updated_at
1,48,35,2024-05-26T09:36:26.488301,2024-05-26T09:36:26.488312
2,28,11,2024-05-26T09:36:26.488321,2024-05-26T09:36:26.488325
3,45,24,2024-05-26T09:36:26.488332,2024-05-26T09:36:26.488336
4,11,26,2024-05-26T09:36:26.488343,2024-05-26T09:36:26.488347
5,20,3,2024-05-26T09:36:26.488354,2024-05-26T09:36:26.488358
6,42,42,2024-05-26T09:36:26.488364,2024-05-26T09:36:26.488368
7,36,30,2024-05-26T09:36:26.488376,2024-05-26T09:36:26.488379
8,50,16,2024-05-26T09:36:26.488388,2024-05-26T09:36:26.488392
9,11,20,2024-05-26T09:36:26.488399,2024-05-26T09:36:26.488403
10,17,35,2024-05-26T09:36:26.488409,2024-05-26T09:36:26.488413
11,25,41,2024-05-26T09:36:26.488419,2024-05-26T09:36:26.488423
12,46,13,2024-05-26T09:36:26.488428,2024-05-26T09:36:26.488432
13,11,48,2024-05-26T09:36:26.488439,2024-05-26T09:36:26.488443
14,4,3,2024-05-26T09:36:26.488450,2024-05-26T09:36:26.488454
15,2,33,2024-05-26T09:36:26.488461,2024-05-26T09:36:26.488465
16,38,3,2024-05-26T09:36:26.488471,2024-05-26T09:36:26.488475
17,9,46,2024-05-26T09:36:26.488480,2024-05-26T09:36:26.488484
18,26,23,2024-05-26T09:36:26.488490,2024-05-26T09:36:26.488494
19,31,7,2024-05-26T09:36:26.488500,2024-05-26T09:36:26.488504
20,46,29,2024-05-26T09:36:26.488510,2024-05-26T09:36:26.488514
21,28,20,2024-05-26T09:36:26.488520,2024-05-26T09:36:26.488525
22,37,12,2024-05-26T09:36:26.488531,2024-05-26T09:36:26.488535
23,45,25,2024-05-26T09:36:26.488542,2024-05-26T09:36:26.488546
24,7,5,2024-05-26T09:36:26.488569,2024-05-26T09:36:26.488575
25,9,45,2024-05-26T09:36:26.488581,2024-05-26T09:36:26.488585
26,25,2,2024-05-26T09:36:26.488592,2024-05-26T09:36:26.488596
27,49,27,2024-05-26T09:36:26.488603,2024-05-26T09:36:26.488612
28,10,27,2024-05-26T09:36:26.488619,2024-05-26T09:36:26.488623
29,48,22,2024-05-26T09:36:26.488629,2024-05-26T09:36:26.488633
30,10,22,2024-05-26T09:36:26.488640,2024-05-26T09:36:26.488644
31,32,34,2024-05-26T09:36:26.488650,2024-05-26T09:36:26.488653
32,4,49,2024-05-26T09:36:26.488659,2024-05-26T09:36:26.488663
33,4,44,2024-05-26T09:36:26.488670,2024-05-26T09:36:26.488674
34,3,44,2024-05-26T09:36:26.488680,2024-05-26T09:36:26.488684
35,28,17,2024-05-26T09:36:26.488690,2024-05-26T09:36:26.488694
36,32,21,2024-05-26T09:36:26.488702,2024-05-26T09:36:26.488706
37,29,24,2024-05-26T09:36:26.488713,2024-05-26T09:36:26.488717
38,8,22,2024-05-26T09:36:26.488723,2024-05-26T09:36:26.488727
39,22,13,2024-05-26T09:36:26.488739,2024-05-26T09:36:26.488743
40,31,48,2024-05-26T09:36:26.488749,2024-05-26T09:36:26.488753
41,23,29,2024-05-26T09:36:26.488759,2024-05-26T09:36:26.488764
42,26,38,2024-05-26T09:36:26.488770,2024-05-26T09:36:26.488775
43,11,38,2024-05-26T09:36:26.488781,2024-05-26T09:36:26.488785
44,32,20,2024-05-26T09:36:26.488792,2024-05-26T09:36:26.488796
45,49,8,2024-05-26T09:36:26.488803,2024-05-26T09:36:26.488807
46,13,24,2024-05-26T09:36:26.488813,2024-05-26T09:36:26.488817
47,50,26,2024-05-26T09:36:26.488824,2024-05-26T09:36:26.488828
48,24,48,2024-05-26T09:36:26.488834,2024-05-26T09:36:26.488838
49,12,20,2024-05-26T09:36:26.488845,2024-05-26T09:36:26.488849
50,27,3,2024-05-26T09:36:26.488868,2024-05-26T09:36:26.488873
