id,word,created_at,updated_at
1,long,2024-05-26T09:36:26.499466,2024-05-26T09:36:26.499477
2,adult,2024-05-26T09:36:26.499500,2024-05-26T09:36:26.499506
3,never,2024-05-26T09:36:26.499522,2024-05-26T09:36:26.499528
4,PM,2024-05-26T09:36:26.499544,2024-05-26T09:36:26.499549
5,visit,2024-05-26T09:36:26.499564,2024-05-26T09:36:26.499569
6,hold,2024-05-26T09:36:26.499595,2024-05-26T09:36:26.499602
7,large,2024-05-26T09:36:26.499619,2024-05-26T09:36:26.499624
8,agreement,2024-05-26T09:36:26.499643,2024-05-26T09:36:26.499649
9,list,2024-05-26T09:36:26.499669,2024-05-26T09:36:26.499675
10,ahead,2024-05-26T09:36:26.499689,2024-05-26T09:36:26.499695
11,president,2024-05-26T09:36:26.499727,2024-05-26T09:36:26.499733
12,point,2024-05-26T09:36:26.499748,2024-05-26T09:36:26.499753
13,through,2024-05-26T09:36:26.499768,2024-05-26T09:36:26.499773
14,level,2024-05-26T09:36:26.499787,2024-05-26T09:36:26.499791
15,learn,2024-05-26T09:36:26.499805,2024-05-26T09:36:26.499810
16,against,2024-05-26T09:36:26.499824,2024-05-26T09:36:26.499829
17,thus,2024-05-26T09:36:26.499843,2024-05-26T09:36:26.499847
18,great,2024-05-26T09:36:26.499862,2024-05-26T09:36:26.499866
19,story,2024-05-26T09:36:26.500077,2024-05-26T09:36:26.500088
20,foot,2024-05-26T09:36:26.500133,2024-05-26T09:36:26.500140
21,beyond,2024-05-26T09:36:26.500158,2024-05-26T09:36:26.500163
22,building,2024-05-26T09:36:26.500178,2024-05-26T09:36:26.500183
23,party,2024-05-26T09:36:26.500197,2024-05-26T09:36:26.500202
24,dark,2024-05-26T09:36:26.500215,2024-05-26T09:36:26.500256
25,everything,2024-05-26T09:36:26.500285,2024-05-26T09:36:26.500291
26,memory,2024-05-26T09:36:26.500308,2024-05-26T09:36:26.500313
27,possible,2024-05-26T09:36:26.500329,2024-05-26T09:36:26.500350
28,within,2024-05-26T09:36:26.500371,2024-05-26T09:36:26.500378
29,usually,2024-05-26T09:36:26.500394,2024-05-26T09:36:26.500399
30,so,2024-05-26T09:36:26.500413,2024-05-26T09:36:26.500418
31,writer,2024-05-26T09:36:26.500432,2024-05-26T09:36:26.500437
32,standard,2024-05-26T09:36:26.500450,2024-05-26T09:36:26.500455
33,long,2024-05-26T09:36:26.500469,2024-05-26T09:36:26.500474
34,card,2024-05-26T09:36:26.500489,2024-05-26T09:36:26.500494
35,phone,2024-05-26T09:36:26.500508,2024-05-26T09:36:26.500513
36,record,2024-05-26T09:36:26.500527,2024-05-26T09:36:26.500531
37,help,2024-05-26T09:36:26.500545,2024-05-26T09:36:26.500550
38,push,2024-05-26T09:36:26.500567,2024-05-26T09:36:26.500572
39,benefit,2024-05-26T09:36:26.500585,2024-05-26T09:36:26.500590
40,usually,2024-05-26T09:36:26.500604,2024-05-26T09:36:26.500608
41,think,2024-05-26T09:36:26.500677,2024-05-26T09:36:26.500684
42,west,2024-05-26T09:36:26.500702,2024-05-26T09:36:26.500708
43,state,2024-05-26T09:36:26.500722,2024-05-26T09:36:26.500726
44,ground,2024-05-26T09:36:26.500741,2024-05-26T09:36:26.500745
45,always,2024-05-26T09:36:26.500760,2024-05-26T09:36:26.500764
46,style,2024-05-26T09:36:26.500779,2024-05-26T09:36:26.500783
47,evening,2024-05-26T09:36:26.500797,2024-05-26T09:36:26.500802
48,large,2024-05-26T09:36:26.500815,2024-05-26T09:36:26.500820
49,process,2024-05-26T09:36:26.500834,2024-05-26T09:36:26.500839
50,away,2024-05-26T09:36:26.500853,2024-05-26T09:36:26.500857
